,time,subject,exercise,set_nr,focus,hr,acc_lin_x_lowpass,acc_lin_y_lowpass,acc_lin_z_lowpass,acc_x_lowpass,acc_y_lowpass,acc_z_lowpass,gyro_x_lowpass,gyro_y_lowpass,gyro_z_lowpass,yaw_lowpass,pitch_lowpass,roll_lowpass,set_id
0,0.0,0,0,1,1,102.0,-1.2681854840883655,0.4206006134359065,-1.1010155656338725,-7.962453081846288,6.182412919146587,1.2926381437936711,0.829019516288327,-0.7280380287740867,-1.796313753166289,67.08407104861713,47.29097344285677,-32.32632847296964,0
1,0.02,0,0,1,1,102.02,-0.697262474564438,0.7471745723525841,-0.8063998330984397,-7.711187607885572,6.472090209721289,1.4839885242010922,0.8621814956814737,-0.6341462563422477,-1.8042131772029024,66.73814101538422,48.89234081427091,-34.13420600495668,0
2,0.04,0,0,1,1,102.04,-0.2302221614127476,0.995949407739322,-0.5300468986956054,-7.529257828918804,6.677234492031181,1.6843645105089715,0.880386228066875,-0.5580871114578794,-1.8189411731337684,66.28753897842414,50.50929461043339,-36.017281227995234,0
3,0.06,0,0,1,1,102.06,0.0574520311652885,1.1080859149147275,-0.2889187135920146,-7.470035516962011,6.729404320183093,1.897056873759523,0.8726395002397415,-0.5121037937373056,-1.8437123951271808,65.62442153181009,52.15237091076218,-38.05983956498862,0
4,0.08,0,0,1,1,102.08,0.1378821875210205,1.0586901420517447,-0.0983084147211002,-7.558364986162336,6.590234145316855,2.1134451054757237,0.8350112398291767,-0.4993402867719139,-1.8763527510752287,64.6633485131662,53.82059122136872,-40.33060049612404,0
5,0.1,0,0,1,1,102.1,0.0339599538268627,0.8604441028610763,0.0320803859901148,-7.786560578191779,6.257592956952511,2.3157624261542766,0.7709251299907119,-0.51329372242885,-1.909391528883944,63.350693499509234,55.4998156662029,-42.8731923489571,0
6,0.12,0,0,1,1,102.12,-0.1924673574030792,0.5565227235950151,0.1019605830934181,-8.118678444844143,5.76324395142636,2.485002666425688,0.6891429262942055,-0.5404169521267461,-1.932229876094312,61.66893413419287,57.16473834729605,-45.69985122430069,0
7,0.14,0,0,1,1,102.14,-0.4619061145237397,0.2060818035411235,0.1211361001017785,-8.501038271261182,5.162829097326724,2.609379731053325,0.6005101673887476,-0.5647682339303166,-1.9344861997596745,59.63493763889493,58.783732689219576,-48.7906326963488,0
8,0.16,0,0,1,1,102.16,-0.700542800891166,-0.1323432525465259,0.1057489212810275,-8.875852739022692,4.521341794522962,2.6886317205512547,0.5148703049518261,-0.5729492434037108,-1.9091899221184936,57.29293007577529,60.32495523703732,-52.09903153349211,0
9,0.18,0,0,1,1,102.18,-0.8584638731196903,-0.4143309751070952,0.0717515679128204,-9.194595185081852,3.898447370123886,2.732157177404547,0.439198638142097,-0.5576485107340294,-1.8546649331556977,54.70429856413684,61.76188359691451,-55.56267831091997,0
10,0.2,0,0,1,1,102.2,-0.9178695097226368,-0.6166086421152133,0.0292389512857091,-9.427833039159532,3.337591741116327,2.75270860778324,0.3772107788500037,-0.5188047739914563,-1.774588421166056,51.93695366011927,63.07685589130282,-59.11589306246175,0
11,0.22,0,0,1,1,102.22,-0.8901211413314952,-0.736860760041874,-0.0190595422280087,-9.568912330327162,2.861194622481925,2.75983502946882,0.3299550376955412,-0.4623738026381656,-1.6764737376843075,49.05644507864775,64.26200680335558,-62.7003674563293,0
12,0.24,0,0,1,1,102.24,-0.8046594555624,-0.7879990308391688,-0.0743165048508046,-9.630707789781583,2.472096955237313,2.757067897989605,0.2966125033119433,-0.3975047804164442,-1.569342563244634,46.11985821955468,65.31791700800167,-66.27130664240124,0
13,0.26,0,0,1,1,102.26,-0.6955897616622494,-0.7902087590258964,-0.1354506814127455,-9.637362285532664,2.1594674993137164,2.744229651685039,0.2749640003031877,-0.3333042238685987,-1.4614418838842913,43.17253744193083,66.25097070283975,-69.79822765700301,0
14,0.28,0,0,1,1,102.28,-0.5915180515637374,-0.7642875589088745,-0.1942991400341077,-9.615009012285324,1.906123683316647,2.722894767539875,0.2614661028853766,-0.2762417683427541,-1.358588844864275,40.24739234889002,67.07062891585409,-73.2612328182093,0
15,0.3,0,0,1,1,102.3,-0.5112943844087198,-0.728370262165647,-0.235500409751297,-9.585355054959052,1.6942193914233468,2.7010213176838582,0.2512572957530671,-0.2288239861570043,-1.263327244118732,37.36678209815383,67.78753626495173,-76.64439075800033,0
16,0.32,0,0,1,1,102.32,-0.4647782283975535,-0.6977734765938229,-0.2419030763561161,-9.56370200750163,1.5076870681827552,2.693218771058849,0.2385039489078947,-0.1896739975774387,-1.1748022333498271,34.547128151641736,68.41276058224014,-79.92798654329226,0
17,0.34,0,0,1,1,102.34,-0.4557922762326055,-0.6858351143681997,-0.2032351972782321,-9.560227575341498,1.332039413754254,2.71562318308184,0.2173180304666335,-0.1547669026951749,-1.08920364139148,31.805956948348268,68.95782621281786,-83.08130103678573,0
18,0.36,0,0,1,1,102.36,-0.4846361782800509,-0.7034603263918042,-0.1237490930309023,-9.58205070748914,1.1537583016769557,2.777480152429105,0.183166668915041,-0.1193480474586755,-1.0007003434823412,29.169992172501868,69.43481445775637,-86.05758480354226,0
19,0.38,0,0,1,1,102.38,-0.5488477046194075,-0.7565762371425935,-0.0246456777534499,-9.634140261243829,0.961419690543254,2.8736638722293395,0.134387717133106,-0.0799787586943215,-0.9028191144185542,26.6817407618597,69.8558028525633,-88.7929388549001,0
20,0.4,0,0,1,1,102.4,-0.6421531404171943,-0.8426595096866412,0.0607003250522072,-9.718451614585806,0.7490474640376983,2.982367401528083,0.0732407616840518,-0.0361338766095617,-0.7901214154349412,24.401593633176656,70.23130794228739,-91.21045593520154,0
21,0.42,0,0,1,1,102.42,-0.7524514839523818,-0.9486206107221776,0.0974429777271004,-9.831721544902082,0.520190845231727,3.070014139036762,0.0059508359056713,0.0092001217538812,-0.6598526596442127,22.403402060067304,70.56806744287509,-93.22979800575465,0
22,0.44,0,0,1,1,102.44,-0.860438222018925,-1.052045356082003,0.0619119316334609,-9.962974523834896,0.2901906029260063,3.1021403582947453,-0.0585191277919394,0.0502978712201648,-0.5131176775140482,20.76365927244391,70.8671612769579,-94.78054409278772,0
23,0.46,0,0,1,1,102.46,-0.9408596024170662,-1.126367037203159,-0.0487727093894706,-10.092313385828255,0.0845554658859382,3.0561894616960386,-0.1107717676435333,0.0807685977518572,-0.3551787354141563,19.54692141169953,71.12372497599614,-95.81592661878592,0
24,0.48,0,0,1,1,102.48,-0.9676573364965458,-1.1486534187820885,-0.2140151319710502,-10.192795923244551,-0.067011704532816,2.9311001123578797,-0.1437035563378669,0.0962560982599036,-0.1946774714045766,18.791830743168823,71.3290590768017,-96.32286006985804,0
25,0.5,0,0,1,1,102.5,-0.9222353439042518,-1.1071988933512005,-0.3952313718687329,-10.23639732757768,-0.1393621952558079,2.749681954405828,-0.154762262999147,0.0966501467512274,-0.0418699554506262,18.50233596763656,71.47485905042782,-96.32483766801523,0
26,0.52,0,0,1,1,102.52,-0.8018733852991543,-1.005864940026691,-0.5476583513187159,-10.203032329075455,-0.1202944797595379,2.552560458172945,-0.1469243108815432,0.0867563652110855,0.0937519454176913,18.647361045971937,71.55809469862186,-95.87610709892482,0
27,0.54,0,0,1,1,102.54,-0.6245249866861086,-0.863441455137129,-0.634375007905072,-10.089464350771166,-0.0152586847282248,2.385724661143774,-0.1279853883728043,0.0750134883019697,0.2058735019300771,19.16972981381225,71.58444974929075,-95.04793945846606,0
28,0.56,0,0,1,1,102.56,-0.4274300885292298,-0.7085228877987925,-0.6377743351226814,-9.914238978958608,0.1535013918252149,2.286048473295444,-0.1083436732091544,0.0707616787760021,0.2931683481435884,20.00239520112185,71.56860653051505,-93.9100731252299,0
29,0.58,0,0,1,1,102.58,-0.2592960442793305,-0.5721629157938046,-0.5646999038020992,-9.716079217034617,0.3528484404926801,2.269750701177656,-0.0980081891846669,0.0812306783368458,0.360003022336501,21.0877542527392,71.53085916670594,-92.51194148717452,0
30,0.6,0,0,1,1,102.6,-0.1680140074137016,-0.4809434515853141,-0.4436261051914403,-9.545592908488606,0.547240958195398,2.3276194518321933,-0.1038533815415855,0.1094612424750558,0.4158094473209752,22.39464960722767,71.49093965807553,-90.8687023664279,0
31,0.62,0,0,1,1,102.62,-0.1873323074315422,-0.4521723077172445,-0.3150004316136616,-9.452409121568412,0.706877504162262,2.428481387566053,-0.1280271422225231,0.153838065337305,0.4732333573204798,23.927897968223924,71.46090877440737,-88.95623191453474,0
32,0.64,0,0,1,1,102.64,-0.3264886075474331,-0.4915699467461678,-0.2183241553181989,-9.471323038418216,0.8134552412570902,2.529555200040504,-0.1679490690710903,0.2091718314773711,0.5454644295138255,25.72692746852373,71.43920636816259,-86.71719016234901,0
33,0.66,0,0,1,1,102.66,-0.5663649212594474,-0.5929112428286996,-0.1806829324960482,-9.61157616806059,0.8629171235279356,2.589882895830673,-0.217728827094728,0.2687179061584475,0.6433572530457314,27.853065710721296,71.4075545562418,-84.07737000155984,0
34,0.68,0,0,1,1,102.68,-0.8640265110021755,-0.7390329279153797,-0.2105696382099408,-9.852900655449083,0.8655917310612156,2.581996922285541,-0.2703679372202521,0.3263286629590632,0.7730219985199871,30.368413158597583,71.33161009377719,-80.96856007186807,0
35,0.7000000000000001,0,0,1,1,102.7,-1.1647024460694744,-0.9040983807536755,-0.2983094686671655,-10.15018468442552,0.8443581677244782,2.497979413612528,-0.3199620435896075,0.3780384140470061,0.9344766761554786,33.311912788236306,71.16529534229615,-77.35208092051106,0
