feature,importance_mean,importance_std
acc_lin_magnitude,0.10366512345679,0.18429899440632486
acc_lin_abs_sum,0.07056327160493814,0.15251110264109502
acc_lin_pairwise_product_sum,0.0361496913580247,0.13761607603263762
gyro_pairwise_product_sum,0.03113425925925928,0.15776269645960178
roll_lowpass,0.028896604938271606,0.1274007788251843
gyro_y_lowpass,0.01415895061728396,0.07387365787135378
gyro_magnitude,0.00999228395061729,0.09180587040977962
gyro_abs_sum,0.005516975308641978,0.07919372649886555
gyro_x_lowpass,0.005208333333333336,0.06441416763635091
yaw_lowpass,0.004128086419753083,0.08788677628472301
acc_lin_z_lowpass,0.00177469135802469,0.07446267505775299
gyro_z_lowpass,-0.0013117283950617286,0.051653000445640064
acc_lin_y_lowpass,-0.002584876543209877,0.06674671504135488
acc_lin_x_lowpass,-0.003973765432098762,0.06768342195873277
pitch_lowpass,-0.003973765432098768,0.06928890975799305
hr,-0.008564814814814817,0.0670988914300265
