set_id,subject,exercise,set_nr,focus,count,hit_rate,mean_score
4,0,1,1,1,216,0.11574074074074074,-0.3489194552219082
16,1,1,1,1,216,0.21296296296296297,-0.3004451877737507
12,1,0,1,1,216,0.5231481481481481,0.03199959670000601
1,0,0,2,0,216,0.6342592592592593,-0.07394442023830933
17,1,1,2,0,216,0.6435185185185185,-0.0682637045642605
22,1,2,3,1,216,0.6620370370370371,0.13549775515824286
10,0,2,3,1,216,0.8148148148148148,0.18193466822270712
14,1,0,3,1,216,0.875,0.35839711026931165
20,1,2,1,1,216,0.8796296296296297,0.22612059850864025
13,1,0,2,0,216,0.8888888888888888,-0.37110831204038847
9,0,2,2,0,216,0.9351851851851852,-0.48959657701974496
7,0,1,4,0,216,0.9490740740740741,-0.5276772006367383
8,0,2,1,1,216,0.9490740740740741,0.5054557040071096
3,0,0,4,0,216,0.9953703703703703,-0.7066074331267489
21,1,2,2,0,216,0.9953703703703703,-0.4769267952730998
0,0,0,1,1,216,1.0,1.0600679308557597
15,1,0,4,0,216,1.0,-0.8698885531485182
11,0,2,4,0,216,1.0,-0.6650562573430606
5,0,1,2,0,216,1.0,-1.2780297696200387
6,0,1,3,1,216,1.0,1.2711264563466684
2,0,0,3,1,216,1.0,1.0670007491892095
18,1,1,3,1,216,1.0,0.8501405995128768
19,1,1,4,0,216,1.0,-1.3208051442207283
23,1,2,4,0,216,1.0,-0.9419330782707526
