,accuracy,balanced_accuracy,precision,recall,f1
count,1296.0,1296.0,1296.0,1296.0,1296.0
mean,0.8364197530864198,0.8364197530864198,0.8699845679012346,0.7527006172839507,0.7826131687242798
std,0.18184168865545217,0.18184168865545217,0.2839298886307116,0.31560513406512786,0.27612784214842984
min,0.0,0.0,0.0,0.0,0.0
25%,0.75,0.75,1.0,0.5,0.6666666666666666
50%,0.75,0.75,1.0,1.0,0.8
75%,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0
