repeat,accuracy,balanced_accuracy,precision,recall,f1,n_train,n_test
415,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
416,0.5,0.5,0.0,0.0,0.0,20,4
417,1.0,1.0,1.0,1.0,1.0,20,4
418,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
419,1.0,1.0,1.0,1.0,1.0,20,4
420,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
421,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
422,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
423,1.0,1.0,1.0,1.0,1.0,20,4
424,0.5,0.5,0.0,0.0,0.0,20,4
425,1.0,1.0,1.0,1.0,1.0,20,4
426,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
427,1.0,1.0,1.0,1.0,1.0,20,4
428,1.0,1.0,1.0,1.0,1.0,20,4
429,1.0,1.0,1.0,1.0,1.0,20,4
430,1.0,1.0,1.0,1.0,1.0,20,4
431,1.0,1.0,1.0,1.0,1.0,20,4
432,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
433,1.0,1.0,1.0,1.0,1.0,20,4
434,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
435,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
436,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
437,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
438,0.5,0.5,0.0,0.0,0.0,20,4
439,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
440,1.0,1.0,1.0,1.0,1.0,20,4
441,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
442,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
443,0.5,0.5,0.0,0.0,0.0,20,4
444,1.0,1.0,1.0,1.0,1.0,20,4
445,1.0,1.0,1.0,1.0,1.0,20,4
446,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
447,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
448,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
449,1.0,1.0,1.0,1.0,1.0,20,4
450,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
451,0.5,0.5,0.0,0.0,0.0,20,4
452,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
453,1.0,1.0,1.0,1.0,1.0,20,4
454,1.0,1.0,1.0,1.0,1.0,20,4
455,1.0,1.0,1.0,1.0,1.0,20,4
456,1.0,1.0,1.0,1.0,1.0,20,4
457,0.5,0.5,0.5,0.5,0.5,20,4
458,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
459,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
460,0.5,0.5,0.0,0.0,0.0,20,4
461,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
462,0.5,0.5,0.0,0.0,0.0,20,4
463,1.0,1.0,1.0,1.0,1.0,20,4
464,1.0,1.0,1.0,1.0,1.0,20,4
465,0.5,0.5,0.0,0.0,0.0,20,4
466,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
467,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
468,1.0,1.0,1.0,1.0,1.0,20,4
469,1.0,1.0,1.0,1.0,1.0,20,4
470,1.0,1.0,1.0,1.0,1.0,20,4
471,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
472,1.0,1.0,1.0,1.0,1.0,20,4
473,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
474,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
475,1.0,1.0,1.0,1.0,1.0,20,4
476,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
477,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
478,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
479,1.0,1.0,1.0,1.0,1.0,20,4
480,1.0,1.0,1.0,1.0,1.0,20,4
481,1.0,1.0,1.0,1.0,1.0,20,4
482,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
483,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
484,1.0,1.0,1.0,1.0,1.0,20,4
485,1.0,1.0,1.0,1.0,1.0,20,4
486,1.0,1.0,1.0,1.0,1.0,20,4
487,0.5,0.5,0.0,0.0,0.0,20,4
488,1.0,1.0,1.0,1.0,1.0,20,4
489,0.0,0.0,0.0,0.0,0.0,20,4
490,1.0,1.0,1.0,1.0,1.0,20,4
491,1.0,1.0,1.0,1.0,1.0,20,4
492,1.0,1.0,1.0,1.0,1.0,20,4
493,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
494,1.0,1.0,1.0,1.0,1.0,20,4
495,1.0,1.0,1.0,1.0,1.0,20,4
496,1.0,1.0,1.0,1.0,1.0,20,4
497,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
498,1.0,1.0,1.0,1.0,1.0,20,4
499,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
500,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
501,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
502,0.5,0.5,0.5,1.0,0.6666666666666666,20,4
503,0.5,0.5,0.0,0.0,0.0,20,4
504,0.5,0.5,0.5,0.5,0.5,20,4
505,1.0,1.0,1.0,1.0,1.0,20,4
506,1.0,1.0,1.0,1.0,1.0,20,4
507,1.0,1.0,1.0,1.0,1.0,20,4
508,0.5,0.5,0.0,0.0,0.0,20,4
509,1.0,1.0,1.0,1.0,1.0,20,4
510,1.0,1.0,1.0,1.0,1.0,20,4
511,1.0,1.0,1.0,1.0,1.0,20,4
512,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
513,1.0,1.0,1.0,1.0,1.0,20,4
514,1.0,1.0,1.0,1.0,1.0,20,4
515,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
516,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
517,1.0,1.0,1.0,1.0,1.0,20,4
518,1.0,1.0,1.0,1.0,1.0,20,4
519,1.0,1.0,1.0,1.0,1.0,20,4
520,0.5,0.5,0.0,0.0,0.0,20,4
521,1.0,1.0,1.0,1.0,1.0,20,4
522,1.0,1.0,1.0,1.0,1.0,20,4
523,1.0,1.0,1.0,1.0,1.0,20,4
524,1.0,1.0,1.0,1.0,1.0,20,4
525,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
526,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
527,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
528,1.0,1.0,1.0,1.0,1.0,20,4
529,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
530,1.0,1.0,1.0,1.0,1.0,20,4
531,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
532,1.0,1.0,1.0,1.0,1.0,20,4
533,1.0,1.0,1.0,1.0,1.0,20,4
534,1.0,1.0,1.0,1.0,1.0,20,4
535,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
536,1.0,1.0,1.0,1.0,1.0,20,4
537,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
538,1.0,1.0,1.0,1.0,1.0,20,4
539,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
540,1.0,1.0,1.0,1.0,1.0,20,4
541,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
542,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
543,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
544,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
545,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
546,1.0,1.0,1.0,1.0,1.0,20,4
547,0.25,0.25,0.3333333333333333,0.5,0.4,20,4
548,0.5,0.5,0.5,1.0,0.6666666666666666,20,4
549,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
550,1.0,1.0,1.0,1.0,1.0,20,4
