feature,importance_mean,importance_std
hr_pc3,0.10505401234567902,0.1442712915815972
acc_lin_pc3,0.09089506172839507,0.13203942820641593
acc_lin_pc1,0.06604938271604938,0.12290302181728259
acc_pc6,0.04120370370370371,0.09258085153644932
acc_lin_pc5,0.03148148148148148,0.0858999847427657
acc_lin_pc2,0.027584876543209878,0.09923001112068755
gyro_pc1,0.024035493827160494,0.08878760551820035
acc_lin_pc6,0.020871913580246915,0.0888924330991189
acc_lin_pc4,0.02052469135802469,0.07597013846327125
hr_pc2,0.019598765432098764,0.09718903030884854
hr_pc1,0.010030864197530864,0.08868232648742193
orient_pc4,0.0062499999999999995,0.08271164498555338
acc_pc5,0.004436728395061727,0.09813704392988438
orient_pc1,0.003356481481481482,0.05223128920348005
acc_pc3,0.0031249999999999997,0.06141726236026901
orient_pc6,0.002854938271604939,0.08432991256488305
acc_pc4,0.002816358024691358,0.08379152422194143
gyro_pc6,0.0015046296296296298,0.07432873851015749
acc_pc2,0.0005787037037037037,0.047946768844653584
acc_pc1,0.0005015432098765434,0.043381881499127126
orient_pc5,-0.0010416666666666667,0.07153093533866806
gyro_pc5,-0.002044753086419753,0.05945103695346669
gyro_pc3,-0.0025848765432098767,0.05183014033147232
orient_pc3,-0.002854938271604938,0.046161013555876776
gyro_pc4,-0.004243827160493828,0.06950825039564397
gyro_pc2,-0.006057098765432098,0.05395516353025296
orient_pc2,-0.0069058641975308635,0.045156890942152625
