time,hr
2026-06-06T12:11:24.000Z,70
2026-06-06T12:11:25.000Z,71
2026-06-06T12:11:26.000Z,72
2026-06-06T12:11:27.000Z,73
2026-06-06T12:11:32.000Z,76
2026-06-06T12:11:33.000Z,81
2026-06-06T12:11:34.000Z,85
2026-06-06T12:11:35.000Z,89
2026-06-06T12:11:36.000Z,93
2026-06-06T12:11:37.000Z,93
2026-06-06T12:11:38.000Z,92
2026-06-06T12:11:39.000Z,91
2026-06-06T12:11:41.000Z,90
2026-06-06T12:11:44.000Z,91
2026-06-06T12:11:45.000Z,92
2026-06-06T12:11:46.000Z,93
2026-06-06T12:11:47.000Z,96
2026-06-06T12:11:48.000Z,99
2026-06-06T12:11:49.000Z,99
2026-06-06T12:11:50.000Z,101
2026-06-06T12:11:51.000Z,102
2026-06-06T12:11:54.000Z,104
2026-06-06T12:11:56.000Z,105
2026-06-06T12:11:58.000Z,106
2026-06-06T12:12:00.000Z,106
