time,hr
2026-06-06T11:39:20.000Z,78
2026-06-06T11:39:21.000Z,79
2026-06-06T11:39:22.000Z,78
2026-06-06T11:39:25.000Z,79
2026-06-06T11:39:26.000Z,83
2026-06-06T11:39:27.000Z,82
2026-06-06T11:39:28.000Z,79
2026-06-06T11:39:29.000Z,80
2026-06-06T11:39:30.000Z,82
2026-06-06T11:39:31.000Z,84
2026-06-06T11:39:32.000Z,85
2026-06-06T11:39:34.000Z,84
2026-06-06T11:39:38.000Z,83
2026-06-06T11:39:39.000Z,84
2026-06-06T11:39:40.000Z,85
2026-06-06T11:39:41.000Z,88
2026-06-06T11:39:42.000Z,93
2026-06-06T11:39:43.000Z,95
2026-06-06T11:39:44.000Z,96
2026-06-06T11:39:45.000Z,94
2026-06-06T11:39:47.000Z,95
2026-06-06T11:39:48.000Z,95
2026-06-06T11:39:50.000Z,94
2026-06-06T11:39:53.000Z,95
2026-06-06T11:39:55.000Z,93
2026-06-06T11:39:57.000Z,92
2026-06-06T11:39:58.000Z,91
2026-06-06T11:39:59.000Z,90
2026-06-06T11:40:01.000Z,88
2026-06-06T11:40:02.000Z,86
2026-06-06T11:40:03.000Z,86
