time,hr
2026-06-06T11:21:24.000Z,79
2026-06-06T11:21:25.000Z,79
2026-06-06T11:21:26.000Z,78
2026-06-06T11:21:27.000Z,77
2026-06-06T11:21:28.000Z,76
2026-06-06T11:21:30.000Z,77
2026-06-06T11:21:32.000Z,80
2026-06-06T11:21:33.000Z,78
2026-06-06T11:21:34.000Z,82
2026-06-06T11:21:35.000Z,83
2026-06-06T11:21:37.000Z,74
2026-06-06T11:21:38.000Z,63
2026-06-06T11:21:39.000Z,58
2026-06-06T11:21:40.000Z,57
2026-06-06T11:21:45.000Z,56
2026-06-06T11:21:46.000Z,57
2026-06-06T11:21:47.000Z,56
2026-06-06T11:21:48.000Z,57
2026-06-06T11:21:50.000Z,58
2026-06-06T11:21:51.000Z,59
2026-06-06T11:21:52.000Z,61
2026-06-06T11:21:53.000Z,63
2026-06-06T11:21:54.000Z,65
2026-06-06T11:21:56.000Z,72
2026-06-06T11:21:57.000Z,66
2026-06-06T11:21:58.000Z,67
2026-06-06T11:21:59.000Z,69
2026-06-06T11:22:01.000Z,68
2026-06-06T11:22:02.000Z,68
