time,hr
2026-06-06T11:16:23.000Z,82
2026-06-06T11:16:24.000Z,82
2026-06-06T11:16:25.000Z,83
2026-06-06T11:16:26.000Z,82
2026-06-06T11:16:30.000Z,83
2026-06-06T11:16:31.000Z,85
2026-06-06T11:16:32.000Z,86
2026-06-06T11:16:33.000Z,88
2026-06-06T11:16:34.000Z,90
2026-06-06T11:16:37.000Z,91
2026-06-06T11:16:38.000Z,92
2026-06-06T11:16:39.000Z,88
2026-06-06T11:16:40.000Z,85
2026-06-06T11:16:41.000Z,84
2026-06-06T11:16:44.000Z,83
2026-06-06T11:16:47.000Z,82
2026-06-06T11:16:49.000Z,83
2026-06-06T11:16:51.000Z,84
2026-06-06T11:16:53.000Z,85
2026-06-06T11:16:54.000Z,86
2026-06-06T11:16:55.000Z,88
2026-06-06T11:16:56.000Z,90
2026-06-06T11:16:57.000Z,91
2026-06-06T11:16:58.000Z,93
2026-06-06T11:16:59.000Z,94
2026-06-06T11:17:00.000Z,96
2026-06-06T11:17:01.000Z,97
2026-06-06T11:17:03.000Z,98
