time,hr
2026-06-06T12:15:58.000Z,60
2026-06-06T12:15:59.000Z,62
2026-06-06T12:16:02.000Z,63
2026-06-06T12:16:03.000Z,65
2026-06-06T12:16:06.000Z,69
2026-06-06T12:16:07.000Z,72
2026-06-06T12:16:08.000Z,75
2026-06-06T12:16:09.000Z,78
2026-06-06T12:16:10.000Z,79
2026-06-06T12:16:14.000Z,78
2026-06-06T12:16:15.000Z,90
2026-06-06T12:16:16.000Z,96
2026-06-06T12:16:17.000Z,99
2026-06-06T12:16:18.000Z,103
2026-06-06T12:16:19.000Z,108
2026-06-06T12:16:20.000Z,108
2026-06-06T12:16:25.000Z,109
2026-06-06T12:16:27.000Z,110
2026-06-06T12:16:28.000Z,111
2026-06-06T12:16:30.000Z,119
2026-06-06T12:16:31.000Z,120
2026-06-06T12:16:32.000Z,121
2026-06-06T12:16:33.000Z,120
2026-06-06T12:16:35.000Z,119
2026-06-06T12:16:36.000Z,120
2026-06-06T12:16:38.000Z,120
