time,hr
2026-06-06T12:18:24.000Z,85
2026-06-06T12:18:25.000Z,85
2026-06-06T12:18:26.000Z,86
2026-06-06T12:18:27.000Z,85
2026-06-06T12:18:35.000Z,86
2026-06-06T12:18:36.000Z,87
2026-06-06T12:18:39.000Z,88
2026-06-06T12:18:40.000Z,89
2026-06-06T12:18:41.000Z,90
2026-06-06T12:18:42.000Z,92
2026-06-06T12:18:43.000Z,95
2026-06-06T12:18:44.000Z,100
2026-06-06T12:18:45.000Z,106
2026-06-06T12:18:46.000Z,108
2026-06-06T12:18:48.000Z,109
2026-06-06T12:18:49.000Z,110
2026-06-06T12:18:51.000Z,111
2026-06-06T12:18:54.000Z,114
2026-06-06T12:18:55.000Z,116
2026-06-06T12:18:56.000Z,118
2026-06-06T12:18:58.000Z,119
2026-06-06T12:19:01.000Z,118
2026-06-06T12:19:02.000Z,119
2026-06-06T12:19:04.000Z,118
2026-06-06T12:20:14.000Z,114
2026-06-06T12:20:15.000Z,120
2026-06-06T12:20:16.000Z,119
2026-06-06T12:20:17.000Z,118
