time,hr
2026-06-06T11:13:39.000Z,76
2026-06-06T11:13:40.000Z,76
2026-06-06T11:13:41.000Z,77
2026-06-06T11:13:43.000Z,78
2026-06-06T11:13:45.000Z,79
2026-06-06T11:13:46.000Z,78
2026-06-06T11:13:50.000Z,77
2026-06-06T11:13:53.000Z,74
2026-06-06T11:13:54.000Z,71
2026-06-06T11:13:55.000Z,67
2026-06-06T11:13:56.000Z,67
2026-06-06T11:13:57.000Z,68
2026-06-06T11:13:58.000Z,67
2026-06-06T11:13:59.000Z,70
2026-06-06T11:14:00.000Z,74
2026-06-06T11:14:01.000Z,83
2026-06-06T11:14:02.000Z,85
2026-06-06T11:14:03.000Z,86
2026-06-06T11:14:04.000Z,87
2026-06-06T11:14:05.000Z,88
2026-06-06T11:14:07.000Z,91
2026-06-06T11:14:08.000Z,93
2026-06-06T11:14:09.000Z,95
2026-06-06T11:14:10.000Z,97
2026-06-06T11:14:12.000Z,98
2026-06-06T11:14:13.000Z,100
2026-06-06T11:14:14.000Z,101
2026-06-06T11:14:15.000Z,102
2026-06-06T11:14:17.000Z,105
