time,hr
2026-06-06T11:49:10.000Z,69
2026-06-06T11:49:11.000Z,69
2026-06-06T11:49:12.000Z,68
2026-06-06T11:49:14.000Z,69
2026-06-06T11:49:16.000Z,71
2026-06-06T11:49:17.000Z,74
2026-06-06T11:49:18.000Z,76
2026-06-06T11:49:19.000Z,75
2026-06-06T11:49:20.000Z,76
2026-06-06T11:49:21.000Z,78
2026-06-06T11:49:22.000Z,79
2026-06-06T11:49:25.000Z,78
2026-06-06T11:49:26.000Z,81
2026-06-06T11:49:27.000Z,86
2026-06-06T11:49:28.000Z,84
2026-06-06T11:49:30.000Z,83
2026-06-06T11:49:31.000Z,84
2026-06-06T11:49:32.000Z,82
2026-06-06T11:49:33.000Z,81
2026-06-06T11:49:35.000Z,82
2026-06-06T11:49:36.000Z,83
2026-06-06T11:49:39.000Z,82
2026-06-06T11:49:43.000Z,83
2026-06-06T11:49:44.000Z,84
2026-06-06T11:49:45.000Z,85
2026-06-06T11:49:46.000Z,84
2026-06-06T11:49:49.000Z,82
