time,hr
2026-06-06T12:09:05.000Z,68
2026-06-06T12:09:06.000Z,69
2026-06-06T12:09:07.000Z,71
2026-06-06T12:09:08.000Z,72
2026-06-06T12:09:12.000Z,71
2026-06-06T12:09:14.000Z,72
2026-06-06T12:09:18.000Z,74
2026-06-06T12:09:19.000Z,75
2026-06-06T12:09:20.000Z,76
2026-06-06T12:09:21.000Z,79
2026-06-06T12:09:22.000Z,82
2026-06-06T12:09:23.000Z,84
2026-06-06T12:09:24.000Z,85
2026-06-06T12:09:26.000Z,87
2026-06-06T12:09:27.000Z,89
2026-06-06T12:09:30.000Z,90
2026-06-06T12:09:31.000Z,89
2026-06-06T12:09:33.000Z,90
2026-06-06T12:09:38.000Z,92
2026-06-06T12:09:39.000Z,96
2026-06-06T12:09:40.000Z,100
2026-06-06T12:09:41.000Z,100
2026-06-06T12:09:42.000Z,103
