time,hr
2026-06-06T11:35:01.000Z,89
2026-06-06T11:35:02.000Z,88
2026-06-06T11:35:04.000Z,89
2026-06-06T11:35:05.000Z,90
2026-06-06T11:35:06.000Z,91
2026-06-06T11:35:09.000Z,90
2026-06-06T11:35:11.000Z,89
2026-06-06T11:35:13.000Z,87
2026-06-06T11:35:14.000Z,85
2026-06-06T11:35:15.000Z,84
2026-06-06T11:35:16.000Z,83
2026-06-06T11:35:20.000Z,84
2026-06-06T11:35:22.000Z,89
2026-06-06T11:35:23.000Z,97
2026-06-06T11:35:24.000Z,103
2026-06-06T11:35:25.000Z,106
2026-06-06T11:35:26.000Z,109
2026-06-06T11:35:27.000Z,111
2026-06-06T11:35:28.000Z,112
2026-06-06T11:35:29.000Z,112
2026-06-06T11:35:33.000Z,111
2026-06-06T11:35:34.000Z,110
2026-06-06T11:35:38.000Z,111
2026-06-06T11:35:40.000Z,112
2026-06-06T11:35:41.000Z,111
2026-06-06T11:35:42.000Z,110
2026-06-06T11:35:43.000Z,110
