time,hr
2026-06-06T11:24:26.000Z,57
2026-06-06T11:24:27.000Z,58
2026-06-06T11:24:28.000Z,61
2026-06-06T11:24:29.000Z,60
2026-06-06T11:24:31.000Z,59
2026-06-06T11:24:32.000Z,58
2026-06-06T11:24:34.000Z,57
2026-06-06T11:24:37.000Z,58
2026-06-06T11:24:39.000Z,59
2026-06-06T11:24:40.000Z,61
2026-06-06T11:24:42.000Z,62
2026-06-06T11:24:44.000Z,64
2026-06-06T11:24:46.000Z,63
2026-06-06T11:24:49.000Z,64
2026-06-06T11:24:50.000Z,63
2026-06-06T11:24:51.000Z,62
2026-06-06T11:24:52.000Z,58
2026-06-06T11:24:53.000Z,57
2026-06-06T11:24:56.000Z,56
2026-06-06T11:24:59.000Z,55
2026-06-06T11:25:00.000Z,56
2026-06-06T11:25:01.000Z,57
2026-06-06T11:25:02.000Z,58
2026-06-06T11:25:03.000Z,59
2026-06-06T11:25:05.000Z,61
