time,hr
2026-06-06T12:00:04.000Z,65
2026-06-06T12:00:05.000Z,65
2026-06-06T12:00:09.000Z,66
2026-06-06T12:00:12.000Z,67
2026-06-06T12:00:15.000Z,66
2026-06-06T12:00:16.000Z,65
2026-06-06T12:00:18.000Z,63
2026-06-06T12:00:19.000Z,62
2026-06-06T12:00:20.000Z,57
2026-06-06T12:00:21.000Z,52
2026-06-06T12:00:22.000Z,50
2026-06-06T12:00:24.000Z,49
2026-06-06T12:00:25.000Z,48
2026-06-06T12:00:26.000Z,46
2026-06-06T12:00:27.000Z,45
2026-06-06T12:00:29.000Z,44
2026-06-06T12:00:35.000Z,43
2026-06-06T12:00:36.000Z,44
2026-06-06T12:00:38.000Z,43
2026-06-06T12:00:39.000Z,44
2026-06-06T12:00:43.000Z,43
2026-06-06T12:00:44.000Z,44
